City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
2,Bambous Virieux,MU,80.85,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
3,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
6,Moerai,PF,79.99,light rain,-22.4333,-151.3333,Le Manotel
8,Atuona,PF,77.59,light rain,-9.8,-139.0333,Villa Enata
10,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Kavieng,PG,81.9,light rain,-2.5744,150.7967,Nusa Island Retreat
23,Avarua,CK,77.05,moderate rain,-21.2078,-159.775,Paradise Inn
27,Kuala Terengganu,MY,75.15,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
30,Puerto Ayora,EC,85.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Pak Phanang,TH,81.07,broken clouds,8.3511,100.20200000000001,Green Park Inn Hotel
34,Banda Aceh,ID,77.18,scattered clouds,5.5577,95.3222,Sulthan Hotel International
38,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
39,Kudahuvadhoo,MV,80.82,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
40,Carutapera,BR,77.18,overcast clouds,-1.195,-46.02,Lidera
44,Hithadhoo,MV,80.91,overcast clouds,-0.6,73.0833,Scoop Guest House
45,Rikitea,PF,78.96,clear sky,-23.1203,-134.9692,People ThankYou
48,Jardim,BR,86.7,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
51,Bobo Dioulasso,BF,77.45,clear sky,11.1771,-4.2979,RAN Hotel Somketa
55,Alofi,NU,85.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
63,Sechura,PE,78.71,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
65,Port Lincoln,AU,75.18,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
71,George Town,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
74,Wau,SS,76.66,few clouds,7.7029,27.9953,Universal Gab Hotel
78,Nanakuli,US,80.55,few clouds,21.3906,-158.1547,Camp Pālehua
79,Guerrero Negro,MX,76.59,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
82,Saint-Philippe,RE,78.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
83,Mahebourg,MU,80.89,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
85,Mackay,AU,80.69,scattered clouds,-21.15,149.2,International Lodge Motel
86,Rawson,AR,77.76,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
94,Inirida,CO,80.89,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
99,Guadalajara,MX,75.97,few clouds,20.6667,-103.3333,Hotel Aranzazú
101,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
103,Gizo,SB,82.2,light rain,-8.103,156.8419,Imagination Island
