City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Yantongshan,CN,43.2919,126.0094,-1.34,97,10,2.35,clear sky
1,Hilo,US,19.7297,-155.09,80.33,65,0,7.0,clear sky
2,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,75,5.75,light intensity shower rain
3,San Cristobal,VE,7.7669,-72.225,75.38,55,93,2.55,overcast clouds
4,Mount Gambier,AU,-37.8333,140.7667,71.51,53,87,10.36,overcast clouds
5,Albany,US,42.6001,-73.9662,39.47,64,50,1.99,scattered clouds
6,Moerai,PF,-22.4333,-151.3333,79.99,69,99,4.54,light rain
7,Port Hardy,CA,50.6996,-127.4199,46.76,87,75,4.61,broken clouds
8,Atuona,PF,-9.8,-139.0333,77.59,78,11,12.55,light rain
9,Kawalu,ID,-7.3817,108.2082,72.3,93,100,1.79,overcast clouds
10,Kapaa,US,22.0752,-159.319,78.78,74,75,6.91,broken clouds
11,Washington,US,47.5001,-120.5015,49.75,47,5,2.89,clear sky
12,Lagoa,PT,39.05,-27.9833,60.55,89,100,22.35,overcast clouds
13,Nyurba,RU,63.2842,118.3319,-27.53,100,98,2.91,overcast clouds
14,Bonavista,CA,48.6499,-53.1147,43.12,86,99,23.09,overcast clouds
15,Chokurdakh,RU,70.6333,147.9167,-2.06,95,100,12.82,overcast clouds
16,Port Elizabeth,ZA,-33.918,25.5701,70.09,94,100,19.57,drizzle
17,Barrow,US,71.2906,-156.7887,-25.58,62,75,8.05,broken clouds
18,Victoria,HK,22.2855,114.1577,64.94,90,99,4.0,overcast clouds
19,Ilulissat,GL,69.2167,-51.1,15.82,86,100,23.02,snow
20,Kavieng,PG,-2.5744,150.7967,81.9,76,100,3.6,light rain
21,Busselton,AU,-33.65,115.3333,56.08,71,0,11.86,clear sky
22,Hobart,AU,-42.8794,147.3294,66.25,60,75,11.5,broken clouds
23,Avarua,CK,-21.2078,-159.775,77.05,88,100,5.75,moderate rain
24,Nikolskoye,RU,59.7035,30.7861,36.72,98,100,11.34,light snow
25,Mataura,NZ,-46.1927,168.8643,49.48,89,98,5.03,overcast clouds
26,Cape Town,ZA,-33.9258,18.4232,69.89,79,20,16.11,few clouds
27,Kuala Terengganu,MY,5.3302,103.1408,75.15,100,20,3.44,few clouds
28,Gorontalo,ID,0.5412,123.0595,73.26,95,99,3.02,overcast clouds
29,Nieves,PH,15.3274,120.9485,74.37,84,99,1.88,overcast clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,85.96,87,91,5.01,overcast clouds
31,Upernavik,GL,72.7868,-56.1549,6.73,98,100,7.02,light snow
32,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,35.68,snow
33,Pak Phanang,TH,8.3511,100.202,81.07,80,84,6.49,broken clouds
34,Banda Aceh,ID,5.5577,95.3222,77.18,84,45,8.99,scattered clouds
35,Bredasdorp,ZA,-34.5322,20.0403,69.12,78,100,0.0,overcast clouds
36,Haukipudas,FI,65.1765,25.3523,15.85,100,100,4.76,overcast clouds
37,Norman Wells,CA,65.282,-126.8329,-12.96,70,75,3.44,broken clouds
38,Vaini,TO,-21.2,-175.2,84.36,84,40,9.22,scattered clouds
39,Kudahuvadhoo,MV,2.6708,72.8944,80.82,69,100,5.17,overcast clouds
40,Carutapera,BR,-1.195,-46.02,77.18,91,99,5.95,overcast clouds
41,Castro,BR,-24.7911,-50.0119,66.81,66,36,6.87,scattered clouds
42,Leh,IN,34.1667,77.5833,-1.48,74,94,2.15,overcast clouds
43,Yulara,AU,-25.2406,130.9889,71.44,43,0,6.91,clear sky
44,Hithadhoo,MV,-0.6,73.0833,80.91,71,100,11.63,overcast clouds
45,Rikitea,PF,-23.1203,-134.9692,78.96,71,1,16.71,clear sky
46,Nouadhibou,MR,20.931,-17.0347,69.78,52,73,13.8,broken clouds
47,Ushuaia,AR,-54.8,-68.3,47.86,53,20,33.38,few clouds
48,Jardim,BR,-21.4803,-56.1381,86.7,38,100,1.41,overcast clouds
49,Ponta Do Sol,PT,32.6667,-17.1,64.06,58,40,5.1,scattered clouds
50,Tiksi,RU,71.6872,128.8694,-8.95,91,94,14.07,overcast clouds
51,Bobo Dioulasso,BF,11.1771,-4.2979,77.45,25,0,4.61,clear sky
52,Mar Del Plata,AR,-38.0023,-57.5575,64.42,69,40,13.8,scattered clouds
53,Gornyatskiy,RU,48.2915,40.9575,30.38,91,81,14.67,broken clouds
54,Ribeira Grande,PT,38.5167,-28.7,61.39,88,100,15.43,overcast clouds
55,Alofi,NU,-19.0595,-169.9187,85.89,70,39,14.97,scattered clouds
56,Longyearbyen,SJ,78.2186,15.6401,10.24,72,0,11.5,clear sky
57,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,88,100,10.22,overcast clouds
58,Nelson Bay,AU,-32.7167,152.15,73.0,74,95,1.01,overcast clouds
59,Iwanai,JP,42.9744,140.5089,27.3,71,96,12.19,overcast clouds
60,Biu,NG,10.6129,12.1946,68.94,24,78,7.81,broken clouds
61,Buta,CD,2.7858,24.73,71.85,48,100,1.61,overcast clouds
62,Tuatapere,NZ,-46.1333,167.6833,49.82,70,100,7.7,overcast clouds
63,Sechura,PE,-5.5569,-80.8222,78.71,61,100,15.05,overcast clouds
64,Usak,TR,38.5,29.4167,38.62,62,98,4.97,overcast clouds
65,Port Lincoln,AU,-34.7333,135.8667,75.18,37,100,9.35,overcast clouds
66,Yellowknife,CA,62.456,-114.3525,-8.59,82,75,6.91,broken clouds
67,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,94,75,0.0,light intensity drizzle
68,New Norfolk,AU,-42.7826,147.0587,66.65,52,99,4.85,overcast clouds
69,Husavik,IS,66.0449,-17.3389,21.11,85,91,8.08,overcast clouds
70,Bluff,NZ,-46.6,168.3333,49.8,72,100,13.13,overcast clouds
71,George Town,MY,5.4112,100.3354,79.9,84,20,5.75,few clouds
72,Jamestown,US,42.097,-79.2353,27.09,63,100,9.22,overcast clouds
73,Yangjiang,CN,21.85,111.9667,65.95,88,100,5.79,light rain
74,Wau,SS,7.7029,27.9953,76.66,21,22,5.57,few clouds
75,Zheleznodorozhnyy,RU,55.7503,38.0042,27.12,92,70,10.54,broken clouds
76,Port Alfred,ZA,-33.5906,26.891,74.93,93,18,2.26,few clouds
77,Ponta Delgada,PT,37.7333,-25.6667,62.51,77,75,11.5,broken clouds
78,Nanakuli,US,21.3906,-158.1547,80.55,48,20,6.91,few clouds
79,Guerrero Negro,MX,27.9769,-114.0611,76.59,26,100,5.48,overcast clouds
80,Taksimo,RU,56.3444,114.8794,-27.65,96,82,1.05,broken clouds
81,Olafsvik,IS,64.8945,-23.7142,26.46,70,30,18.19,scattered clouds
82,Saint-Philippe,RE,-21.3585,55.7679,78.35,81,27,10.69,scattered clouds
83,Mahebourg,MU,-20.4081,57.7,80.89,83,75,5.75,light intensity shower rain
84,Hermanus,ZA,-34.4187,19.2345,67.89,81,100,3.65,overcast clouds
85,Mackay,AU,-21.15,149.2,80.69,73,40,20.71,scattered clouds
86,Rawson,AR,-43.3002,-65.1023,77.76,25,71,15.32,broken clouds
87,Gallup,US,35.5281,-108.7426,54.36,10,0,5.75,clear sky
88,Aleksandrov Gay,RU,50.147,48.5704,25.29,94,100,5.35,overcast clouds
89,Chuy,UY,-33.6971,-53.4616,68.36,95,98,8.48,overcast clouds
90,Punta Arenas,CL,-53.15,-70.9167,57.31,47,75,21.85,broken clouds
91,Camacha,PT,33.0833,-16.3333,59.76,77,40,11.5,scattered clouds
92,Narsaq,GL,60.9167,-46.05,30.42,97,100,5.35,snow
93,Coahuayana,MX,18.7333,-103.6833,90.88,46,60,6.02,broken clouds
94,Inirida,CO,3.8653,-67.9239,80.89,69,92,2.17,overcast clouds
95,Tsiroanomandidy,MG,-18.7667,46.0333,69.51,88,98,3.8,overcast clouds
96,Dikson,RU,73.5069,80.5464,-4.63,89,100,26.71,overcast clouds
97,Sitka,US,57.0531,-135.33,42.69,81,75,6.91,broken clouds
98,Shieli,KZ,44.1667,66.75,30.81,82,98,7.0,overcast clouds
99,Guadalajara,MX,20.6667,-103.3333,75.97,22,20,0.0,few clouds
100,Khatanga,RU,71.9667,102.5,-17.81,85,67,2.68,broken clouds
101,Isangel,VU,-19.55,169.2667,86.11,89,75,0.0,broken clouds
102,Cascas,PE,-7.4833,-78.8167,74.98,80,87,6.91,light rain
103,Gizo,SB,-8.103,156.8419,82.2,70,69,2.68,light rain
104,Leshukonskoye,RU,64.8989,45.7622,6.3,99,94,5.1,overcast clouds
105,Dzerzhinsk,RU,56.2389,43.4631,24.62,63,40,4.47,scattered clouds
106,Butaritari,KI,3.0707,172.7902,82.69,70,99,14.74,overcast clouds
107,Bairiki,KI,1.3292,172.9752,86.0,66,20,10.36,few clouds
108,Fortuna,US,40.5982,-124.1573,75.42,73,0,10.36,clear sky
109,Adrar,MR,20.5022,-10.0711,63.45,24,61,9.95,broken clouds
110,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,80,75,13.8,broken clouds
111,Provideniya,RU,64.3833,-173.3,-6.66,85,12,3.98,few clouds
112,Moron,AR,-34.6534,-58.6198,70.0,56,27,8.14,scattered clouds
113,Lata,PT,40.1629,-8.3327,49.71,98,48,1.61,scattered clouds
114,Sorong,ID,-0.8833,131.25,78.24,86,100,8.72,overcast clouds
115,Tenenkou,ML,14.4572,-4.9169,71.26,13,2,10.18,clear sky
116,Namatanai,PG,-3.6667,152.4333,81.95,74,100,2.21,overcast clouds
